No,어린이집유형,어린이집,어린이집특성,평가인증여부,정원,아동현원,보육교직원현원
180,가정,하늘채어린이집,일반,Y,20,20,4
181,민간,한별어린이집,일반,Y,82,51,10
182,가정,한사랑어린이집,일반,Y,9,9,3
183,사회복지법인,한솔어린이집,장애아전문,Y,39,39,18
184,민간,함박어린이집,일반,Y,30,14,5
185,가정,해누리어린이집,일반,Y,20,20,4
186,가정,해맑은 어린이집,일반,Y,20,11,3
187,가정,해바라기숲어린이집,일반,Y,15,13,4
188,민간,해오름어린이집,일반,N,39,25,7
189,가정,해와달어린이집,일반,Y,20,19,4
190,민간,해인어린이집,일반,Y,93,91,12
191,가정,해피아이어린이집,일반,N,20,8,2
192,가정,햇님동화어린이집,일반,N,20,20,5
193,민간,햇님몬테소리어린이집,일반,N,23,6,3
194,가정,햇살가득어린이집,일반,N,20,20,5
195,민간,햇살가득한어린이집,일반,Y,111,111,16
196,가정,햇살마루어린이집,일반,N,20,20,5
197,가정,햇살어린이집,일반,Y,20,20,5
198,민간,행복어린이집,장애아전문,Y,26,25,13
199,가정,행복한어린이집,일반,N,20,20,7
200,민간,현대라임어린이집,일반,Y,26,26,7
201,가정,현대조은어린이집,일반,Y,20,20,5
202,민간,화명숲어린이집,일반,N,64,64,12
203,국공립,화명어린이집,일반,Y,83,79,10
204,국공립,화명초등어린이집,일반,Y,49,46,7
205,민간,화영어린이집,일반,Y,95,77,14
206,민간,효림어린이집,일반,N,159,143,24
